"","theta_idx","method","n_idx","coverage","width","theta","n"
"90",15,"dhz_orac",2,0.937,0.587201493951395,10,100
"91",1,"dhz_data",2,0.949,2.62250265355468,0.2,100
"92",2,"dhz_data",2,0.969,1.43181108974368,0.9,100
"93",3,"dhz_data",2,0.981,1.03418583976162,1.6,100
"94",4,"dhz_data",2,0.962,0.800575918281886,2.3,100
"95",5,"dhz_data",2,0.959,0.753631418981054,3,100
"96",6,"dhz_data",2,0.964,0.700445505374131,3.7,100
"97",7,"dhz_data",2,0.962,0.670197593622912,4.4,100
"98",8,"dhz_data",2,0.963,0.666559923640341,5.1,100
"99",9,"dhz_data",2,0.944,0.636460593123873,5.8,100
"100",10,"dhz_data",2,0.972,0.709449388972184,6.5,100
"101",11,"dhz_data",2,0.969,0.621592094170197,7.2,100
"102",12,"dhz_data",2,0.96,0.618052053986797,7.9,100
"103",13,"dhz_data",2,0.965,0.606353946682618,8.6,100
"104",14,"dhz_data",2,0.955,0.612645980831243,9.3,100
"105",15,"dhz_data",2,0.94,0.592510110900036,10,100
"106",1,"subsam",2,0.559,0.999480102606092,0.2,100
"107",2,"subsam",2,0.75,0.696230150459915,0.9,100
"108",3,"subsam",2,0.794,0.575501897493603,1.6,100
"109",4,"subsam",2,0.822,0.532977721259108,2.3,100
"110",5,"subsam",2,0.828,0.498060566183865,3,100
"111",6,"subsam",2,0.839,0.477546387848106,3.7,100
"112",7,"subsam",2,0.851,0.459467892685657,4.4,100
"113",8,"subsam",2,0.846,0.445573441932822,5.1,100
"114",9,"subsam",2,0.832,0.446224908590682,5.8,100
"115",10,"subsam",2,0.863,0.435216479091579,6.5,100
"116",11,"subsam",2,0.876,0.439700430492521,7.2,100
"117",12,"subsam",2,0.866,0.430219403078043,7.9,100
"118",13,"subsam",2,0.882,0.429751682721437,8.6,100
"119",14,"subsam",2,0.858,0.426657034917156,9.3,100
"120",15,"subsam",2,0.834,0.423106793153658,10,100
"121",1,"hulc",3,0.875,1.0742310488419,0.2,250
"122",2,"hulc",3,0.944,0.730784595536257,0.9,250
"123",3,"hulc",3,0.946,0.618524365401859,1.6,250
"124",4,"hulc",3,0.945,0.562635747137219,2.3,250
"125",5,"hulc",3,0.949,0.521048335473936,3,250
"126",6,"hulc",3,0.945,0.516710468846687,3.7,250
"127",7,"hulc",3,0.939,0.501632822105214,4.4,250
"128",8,"hulc",3,0.951,0.493796197304417,5.1,250
"129",9,"hulc",3,0.943,0.476397862188062,5.8,250
"130",10,"hulc",3,0.954,0.479434534274937,6.5,250
"131",11,"hulc",3,0.95,0.475755766525638,7.2,250
"132",12,"hulc",3,0.944,0.470589526542954,7.9,250
"133",13,"hulc",3,0.954,0.470076894802551,8.6,250
"134",14,"hulc",3,0.948,0.457250810740542,9.3,250
"135",15,"hulc",3,0.944,0.462047617124473,10,250
"136",1,"dhz_orac",3,0.972,3.33358126344875,0.2,250
"137",2,"dhz_orac",3,0.972,1.03976041807198,0.9,250
"138",3,"dhz_orac",3,0.965,0.691968897804302,1.6,250
"139",4,"dhz_orac",3,0.961,0.586179111603491,2.3,250
"140",5,"dhz_orac",3,0.964,0.506701544654175,3,250
"141",6,"dhz_orac",3,0.968,0.488029449048304,3.7,250
"142",7,"dhz_orac",3,0.954,0.444661144138611,4.4,250
"143",8,"dhz_orac",3,0.967,0.429475936005219,5.1,250
"144",9,"dhz_orac",3,0.958,0.409847388997587,5.8,250
"145",10,"dhz_orac",3,0.945,0.409078680713287,6.5,250
"146",11,"dhz_orac",3,0.962,0.401810449800233,7.2,250
"147",12,"dhz_orac",3,0.952,0.392641194607315,7.9,250
"148",13,"dhz_orac",3,0.954,0.387517493049487,8.6,250
"149",14,"dhz_orac",3,0.956,0.377459731499077,9.3,250
"150",15,"dhz_orac",3,0.948,0.377140403816435,10,250
"151",1,"dhz_data",3,0.938,2.38520391111802,0.2,250
"152",2,"dhz_data",3,0.966,1.01430466927602,0.9,250
"153",3,"dhz_data",3,0.969,0.712252007423266,1.6,250
"154",4,"dhz_data",3,0.961,0.586428384094072,2.3,250
"155",5,"dhz_data",3,0.964,0.509064204271692,3,250
"156",6,"dhz_data",3,0.975,0.508625669628271,3.7,250
"157",7,"dhz_data",3,0.957,0.446657167315791,4.4,250
"158",8,"dhz_data",3,0.967,0.430431186833643,5.1,250
"159",9,"dhz_data",3,0.961,0.421492218841239,5.8,250
"160",10,"dhz_data",3,0.956,0.428281268094026,6.5,250
"161",11,"dhz_data",3,0.967,0.414465784053639,7.2,250
"162",12,"dhz_data",3,0.957,0.398871315700066,7.9,250
